city,zipcode,query,location,coords,city_y,state,country
CAN PICAFORT,07458,CAN PICAFORT 07458,"Can Picafort, Santa Margalida, Pla de Mallorca, Illes Balears, 07450, España","(39.76802, 3.1493162, 0.0)",,Illes Balears,España
Lisboa,1000-300,Lisboa 1000-300,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
MINGORRIA,05280,MINGORRIA 05280,,,,,
Cádiz,11006,Cádiz 11006,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
Hospitalet,08906,Hospitalet 08906,"l'Hospitalet de Llobregat, Barcelonès, Barcelona, Catalunya, España","(41.3577466, 2.1145870752672113, 0.0)",l'Hospitalet de Llobregat,Catalunya,España
Culleredo,15189,Culleredo 15189,"Culleredo, A Coruña, Galicia, 15189, España","(43.2884816, -8.3894589, 0.0)",,Galicia,España
VALLADA,46691,VALLADA 46691,"Vallada, Villaseco de los Gamitos, Salamanca, Castilla y León, 37114, España","(41.0415701, -6.1139809, 0.0)",,Castilla y León,España
Bolbaite,46822,Bolbaite 46822,"Bolbaite, La Canal de Navarrés, València / Valencia, Comunitat Valenciana, España","(39.0609622, -0.6744835, 0.0)",,Comunitat Valenciana,España
Barcelona,08901,Barcelona 08901,"Barcelona, Barcelonès, Barcelona, Catalunya, 08001, España","(41.3828939, 2.1774322, 0.0)",Barcelona,Catalunya,España
Lisboa,1070-110,Lisboa 1070-110,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Otero de Herreros ,40422,Otero de Herreros  40422,"Otero de Herreros, Segovia, Castilla y León, España","(40.8199828, -4.2091895, 0.0)",,Castilla y León,España
El papiol,08754,El papiol 08754,"el Papiol, Baix Llobregat, Barcelona, Catalunya, 08780, España","(41.4364229, 2.0099593, 0.0)",el Papiol,Catalunya,España
lisboa,1250-148,lisboa 1250-148,"Lisboa, Portugal","(38.7440523, -9.151827931741947, 0.0)",Lisboa,,Portugal
Cádiz,11009,Cádiz 11009,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
ABRUCENA,04520,ABRUCENA 04520,,,,,
cadiz,11008,cadiz 11008,"Cádiz, Bahía de Cádiz, Cádiz, Andalucía, España","(36.5297438, -6.2928976, 0.0)",Cádiz,Andalucía,España
LEDAÑA,16237,LEDAÑA 16237,"Ledaña, Cuenca, Castilla-La Mancha, España","(39.3561864, -1.715765, 0.0)",,Castilla-La Mancha,España
Gijon,3305,Gijon 3305,"Gijón / Xixón, Gijón/Xixón, Asturias / Asturies, 33201, España","(43.5449422, -5.66275, 0.0)",Gijón / Xixón,Asturias / Asturies,España
EL PAPIOL,08754,EL PAPIOL 08754,"el Papiol, Baix Llobregat, Barcelona, Catalunya, 08780, España","(41.4364229, 2.0099593, 0.0)",el Papiol,Catalunya,España
Barcouço,3050-106,Barcouço 3050-106,"Barcouço, Mealhada, Aveiro, 3050-106, Portugal","(40.3042232, -8.4730435, 0.0)",Mealhada,,Portugal
villarrodrigo de las regueras,24197,villarrodrigo de las regueras 24197,"Villarrodrigo de las Regueras, Villaquilambre, León, Castilla y León, 24195, España","(42.6349132, -5.5349678, 0.0)",,Castilla y León,España
PUEBLA DE LA CALZADA,06490,PUEBLA DE LA CALZADA 06490,"Puebla de la Calzada, Badajoz, Extremadura, España","(38.8936017, -6.6261713, 0.0)",,Extremadura,España
VALVERDE,38900,VALVERDE 38900,"Valverde, Santa Cruz de Tenerife, Canarias, España","(27.809685, -17.9151468, 0.0)",,,España
