zipcode,location,coords,city,state,country
26370,"Bañares, La Rioja, 26370, España","(42.43933569090909, -2.9191712756605144, 0.0)",,La Rioja,España
35200,"Sud-Gare, Quartiers Sud-Ouest, Rennes, Ille-et-Vilaine, Bretagne, France métropolitaine, 35200, France","(48.09000929657192, -1.6716951075677577, 0.0)",Rennes,Bretagne,France
07820,"Sant Antoni de Portmany, Eivissa, Illes Balears, 07820, España","(38.98638680897435, 1.3092979391493322, 0.0)",,Illes Balears,España
29679,"Morlaix, Finistère, Bretagne, France métropolitaine, 29679, France","(48.575567574999994, -3.8174969694297776, 0.0)",,Bretagne,France
03100,"Montluçon, Allier, Auvergne-Rhône-Alpes, France métropolitaine, 03100, France","(46.34388725677868, 2.5942943839204244, 0.0)",Montluçon,Auvergne-Rhône-Alpes,France
08777,"Sant Quintí de Mediona, Alt Penedès, Barcelona, Catalunya, 08777, España","(41.457327575, 1.6642539420972036, 0.0)",Sant Quintí de Mediona,Catalunya,España
33430,"Bazas, Langon, Gironde, Nouvelle-Aquitaine, France métropolitaine, 33430, France","(44.42641325923077, -0.2153141763171148, 0.0)",,Nouvelle-Aquitaine,France
24008,"León, Castilla y León, 24008, España","(42.609629088297865, -5.581741641872588, 0.0)",León,Castilla y León,España
46024,"Quatre Carreres, Comarca de València, València / Valencia, Comunitat Valenciana, 46024, España","(39.45327190342452, -0.33618027226088315, 0.0)",,Comunitat Valenciana,España
08310,"Bignicourt, Rethel, Ardennes, Grand Est, France métropolitaine, 08310, France","(49.37123125, 4.4298613237116164, 0.0)",,Grand Est,France
46716,,,,,
20150,"Ota, Ajaccio, Corse-du-Sud, Corse, France métropolitaine, 20150, France","(42.261100371428576, 8.722807642140024, 0.0)",,Corse,France
04560,"Gádor, Almería, Andalucía, 04560, España","(36.9537587, -2.4976983519597518, 0.0)",,Andalucía,España
46520,"Sagunt / Sagunto, el Camp de Morvedre, València / Valencia, Comunitat Valenciana, 46520, España","(39.66531965192903, -0.22314373188353384, 0.0)",Sagunt / Sagunto,Comunitat Valenciana,España
22430,"Erquy, Saint-Brieuc, Côtes-d'Armor, Bretagne, France métropolitaine, 22430, France","(48.62993721651787, -2.4645346103241725, 0.0)",,Bretagne,France
28918,"Leganés, Área metropolitana de Madrid y Corredor del Henares, Comunidad de Madrid, 28918, España","(40.345202329196006, -3.778640233896455, 0.0)",Leganés,Comunidad de Madrid,España
25191,"Lleida, Segrià, Lleida, Catalunya, 25191, España","(41.6303145, 0.6582213898835416, 0.0)",Lleida,Catalunya,España
18128,"Zafarraya, Comarca de Alhama, Granada, Andalucía, 18128, España","(36.97488001923078, -4.143769440577997, 0.0)",,Andalucía,España
05192,"La Serrada, Ávila, Castilla y León, 05192, España","(40.6312239, -4.792324781582954, 0.0)",,Castilla y León,España
31160,"Aspet, Saint-Gaudens, Haute-Garonne, Occitanie, France métropolitaine, 31160, France","(43.00846028790322, 0.8096457553062799, 0.0)",,Occitanie,France
28810,"Villalbilla, Cuenca del Henares, Comunidad de Madrid, 28810, España","(40.44345311166667, -3.3398399899549784, 0.0)",,Comunidad de Madrid,España
30850,"Totana, Bajo Guadalentín, Región de Murcia, 30850, España","(37.770400825, -1.5024696267058706, 0.0)",,Región de Murcia,España
48710,"Berriatua, Bizkaia, Euskadi, 48710, España","(43.310341550000004, -2.4656457500000024, 0.0)",,Euskadi,España
03679,,,,,
